event_id,match_id,rally_id,sequence,set,score_home,score_away,team,player,skill,outcome,evaluation,origin_zone,target_zone,timestamp,raw_code
4adbfbf1-9872-4dd2-939c-74696cb70daf,6e7eeb39-c0dc-448d-b595-297a3041c17a,440bc4c5-5adc-4223-9ffb-63dab6cfa74a,50,1,4,5,0b69626a-72f0-4763-b9d2-55451002d909,,reception,neutral,neutral,,,1789429827358,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado reception neutral
c87b406b-6227-4492-9009-6c1d9fd9a19b,6e7eeb39-c0dc-448d-b595-297a3041c17a,440bc4c5-5adc-4223-9ffb-63dab6cfa74a,51,1,4,5,0b69626a-72f0-4763-b9d2-55451002d909,,attack,neutral,neutral,,,1789429831599,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado attack neutral
d8002e4f-708f-467a-85b5-84767de42db4,6e7eeb39-c0dc-448d-b595-297a3041c17a,440bc4c5-5adc-4223-9ffb-63dab6cfa74a,52,1,4,5,1df68542-fd9a-4794-8afb-fd63936ae052,,dig,neutral,neutral,,,1789429834209,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 Sem atleta identificado dig neutral
32269d8b-5db8-4146-98b6-65ed8cdd39a2,6e7eeb39-c0dc-448d-b595-297a3041c17a,440bc4c5-5adc-4223-9ffb-63dab6cfa74a,55,1,4,5,1df68542-fd9a-4794-8afb-fd63936ae052,,attack,point,excellent,,,1789429849850,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 Sem atleta identificado attack excellent
a23c470b-9fed-4cab-aba4-6ff65379a976,6e7eeb39-c0dc-448d-b595-297a3041c17a,8abca198-e761-4130-80ad-e25db3b76ad3,58,1,5,5,1df68542-fd9a-4794-8afb-fd63936ae052,58f544c9-518f-4c43-9b58-2e710e3dd9d3,serve,neutral,neutral,,,1789429857294,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #03 serve neutral
88e9e544-7710-4543-8d34-ea9ca52d00a0,6e7eeb39-c0dc-448d-b595-297a3041c17a,8abca198-e761-4130-80ad-e25db3b76ad3,59,1,5,5,0b69626a-72f0-4763-b9d2-55451002d909,,reception,neutral,neutral,,,1789429858763,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado reception neutral
e5b1fb75-60b7-4cb3-abf5-edb4149e603f,6e7eeb39-c0dc-448d-b595-297a3041c17a,8abca198-e761-4130-80ad-e25db3b76ad3,60,1,5,5,0b69626a-72f0-4763-b9d2-55451002d909,,attack,point,excellent,,,1789429864369,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado attack excellent
ef67f114-b3d9-479c-8ffb-8df27be7b603,6e7eeb39-c0dc-448d-b595-297a3041c17a,2633256c-e73c-466d-a221-8a2ada1910ab,63,1,5,6,0b69626a-72f0-4763-b9d2-55451002d909,141fcf47-32ca-41c8-a4cd-1e0edf878ace,serve,error,error,,,1789429878109,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 #12 serve error
260951b7-90fe-42a7-9881-0a1b978e7240,6e7eeb39-c0dc-448d-b595-297a3041c17a,5b5cef08-6314-41ac-9fc8-6581bb0e5bf3,66,1,6,6,1df68542-fd9a-4794-8afb-fd63936ae052,74d321c7-d2cd-4467-8755-d401df25fc73,serve,neutral,neutral,,,1789429905312,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #05 serve neutral
dea754fe-5a9c-4171-ab35-935e7402d095,6e7eeb39-c0dc-448d-b595-297a3041c17a,5b5cef08-6314-41ac-9fc8-6581bb0e5bf3,67,1,6,6,0b69626a-72f0-4763-b9d2-55451002d909,,reception,neutral,neutral,,,1789429907239,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado reception neutral
